date,geography,geography code,Number of rooms (VOA): Total: All households,Number of rooms (VOA): 1 room,Number of rooms (VOA): 2 rooms,Number of rooms (VOA): 3 rooms,Number of rooms (VOA): 4 rooms,Number of rooms (VOA): 5 rooms,Number of rooms (VOA): 6 rooms,Number of rooms (VOA): 7 rooms,Number of rooms (VOA): 8 rooms,Number of rooms (VOA): 9 or more rooms
2021,Rochford,E07000075,35554,266,2611,6863,11059,7790,4409,1714,562,280
2021,Tendring,E07000076,67450,426,5441,21679,18820,12232,5196,2109,854,693
2021,Uttlesford,E07000077,36958,140,2593,6359,9109,7138,5051,3507,1731,1330
2021,Cheltenham,E07000078,52899,584,6879,11701,11767,12424,5238,2430,1021,855
2021,Cotswold,E07000079,40598,103,3006,7701,10940,8364,4941,2699,1382,1462
2021,Forest of Dean,E07000080,37218,85,2463,7264,10887,8780,4512,1844,790,593
2021,Gloucester,E07000081,55407,414,5729,11964,13429,13973,6404,2250,881,363
2021,Stroud,E07000082,52376,242,3971,10362,13629,12579,6304,2984,1188,1117
2021,Tewkesbury,E07000083,40931,196,3151,7913,11353,8920,5317,2607,940,534
2021,Basingstoke and Deane,E07000084,76645,602,6453,16157,22421,15704,8267,4086,1747,1208
2021,East Hampshire,E07000085,52718,461,3757,9985,15567,9614,6639,3862,1536,1297
2021,Eastleigh,E07000086,56924,298,4213,12762,16661,13954,5510,2439,835,252
2021,Fareham,E07000087,48639,266,3145,9167,14162,11612,6331,2547,932,477
2021,Gosport,E07000088,35923,327,3952,7678,10313,10138,2252,799,282,182
2021,Hart,E07000089,39965,102,2717,7117,10322,7177,6215,3717,1596,1002
2021,Havant,E07000090,53589,663,4565,12352,17398,11335,4692,1739,576,269
2021,New Forest,E07000091,77566,582,5316,16154,24428,16894,8220,3560,1375,1037
2021,Rushmoor,E07000092,39303,454,4821,9203,10756,9669,2878,1056,293,173
2021,Test Valley,E07000093,54709,250,3957,10135,16763,10742,6955,3449,1448,1010
2021,Winchester,E07000094,51717,398,4584,10605,12703,10208,6017,3759,1860,1583
2021,Broxbourne,E07000095,39850,656,4056,9660,11541,9087,2913,1070,565,302
2021,Dacorum,E07000096,63412,557,7303,13856,17061,13360,6070,2879,1318,1008
2021,Hertsmere,E07000098,42682,473,4618,10778,10391,9967,3220,1590,866,779
2021,North Hertfordshire,E07000099,56732,456,5887,12185,15647,12744,5440,2550,1074,749
2021,Three Rivers,E07000102,36858,431,3276,7993,7738,9734,3541,2039,1074,1032
2021,Watford,E07000103,39628,1087,6101,9009,7720,11497,2326,1032,500,356
2021,Ashford,E07000105,53583,232,3778,12216,15608,10885,5613,2954,1404,893
2021,Canterbury,E07000106,63793,711,5664,16364,16907,13320,5845,2850,1225,907
2021,Dartford,E07000107,45694,533,4589,11870,12281,11840,2891,1102,369,219
2021,Dover,E07000108,50550,303,4141,12010,16446,10619,3754,1876,759,642
2021,Gravesham,E07000109,41726,419,4492,8258,13032,10638,2970,1175,405,337
2021,Maidstone,E07000110,71209,713,5674,15977,18286,17384,7253,3299,1485,1138
2021,Sevenoaks,E07000111,49013,299,3916,9202,12799,10409,5256,3309,1819,2004
2021,Folkestone and Hythe,E07000112,48337,512,5016,12373,13058,9389,4368,2110,886,625
2021,Swale,E07000113,60496,322,4482,13829,20020,14078,4520,1992,761,492
2021,Thanet,E07000114,62197,514,7617,18235,15838,11975,4169,1998,999,852
2021,Tonbridge and Malling,E07000115,53573,244,3858,10869,14339,12985,5518,3018,1554,1188
2021,Tunbridge Wells,E07000116,48223,938,5717,10009,11289,9451,4837,2821,1555,1606
2021,Burnley,E07000117,39873,164,3075,14220,12187,6584,2297,908,239,199
2021,Chorley,E07000118,50131,76,2668,10738,18451,10550,4978,1887,555,228
2021,Fylde,E07000119,37605,304,3364,8318,9136,8681,4539,1844,819,600
